Code,Area Team,"Mental and behavioural 
disorders due to use of alcohol","Mental and behavioural 
disorders due to use of opioids","Mental and behavioural disorders due to use of 
cannabinoids","Mental and behavioural disorders due to 
use of sedatives or hypnotics","Mental and behavioural disorders 
due to use of cocaine","Mental and behavioural disorders due to 
use of other stimulants, including caffeine","Mental and behavioural disorders
 due to use of hallucinogens","Mental and behavioural disorders
 due to use of tobacco","Mental and behavioural disorders 
due to use of volatile solvents","Mental and behavioural disorders due to 
multiple drug use and use of
other psychoactive substances",Anno
Q44,"CHESHIRE, WARRINGTON AND WIRRAL AREA TEAM",1930,45,35.0,15.0,30.0,25.0,10.0,7.0,0.0,105,2016
Q45,"DURHAM, DARLINGTON AND TEES AREA TEAM",940,40,35.0,7.0,15.0,35.0,7.0,15.0,0.0,155,2016
Q46,GREATER MANCHESTER AREA TEAM,2915,60,35.0,10.0,55.0,65.0,7.0,10.0,7.0,200,2016
Q47,LANCASHIRE AREA TEAM,1005,45,70.0,7.0,35.0,30.0,10.0,7.0,7.0,200,2016
Q48,MERSEYSIDE AREA TEAM,2375,170,35.0,7.0,50.0,25.0,7.0,7.0,7.0,170,2016
Q49,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR AREA TEAM",2330,50,40.0,15.0,20.0,30.0,7.0,15.0,0.0,215,2016
Q50,NORTH YORKSHIRE AND HUMBER AREA TEAM,995,40,25.0,7.0,10.0,20.0,7.0,10.0,0.0,155,2016
Q51,SOUTH YORKSHIRE AND BASSETLAW AREA TEAM,1160,25,30.0,7.0,7.0,20.0,7.0,25.0,0.0,60,2016
Q52,WEST YORKSHIRE AREA TEAM,1605,40,50.0,10.0,25.0,20.0,7.0,25.0,0.0,150,2016
Q53,"ARDEN, HEREFORDSHIRE AND WORCESTERSHIRE AREA TEAM",975,15,20.0,7.0,10.0,15.0,7.0,7.0,7.0,40,2016
Q54,BIRMINGHAM AND THE BLACK COUNTRY AREA TEAM,2395,40,70.0,7.0,35.0,20.0,7.0,45.0,7.0,120,2016
Q55,DERBYSHIRE AND NOTTINGHAMSHIRE AREA TEAM,2195,240,60.0,7.0,15.0,25.0,7.0,25.0,7.0,100,2016
Q56,EAST ANGLIA AREA TEAM,1565,35,30.0,10.0,15.0,15.0,7.0,25.0,0.0,120,2016
Q57,ESSEX AREA TEAM,810,20,15.0,7.0,15.0,7.0,7.0,35.0,0.0,45,2016
Q58,HERTFORDSHIRE AND THE SOUTH MIDLANDS AREA TEAM,1700,45,45.0,10.0,30.0,20.0,7.0,30.0,0.0,195,2016
Q59,LEICESTERSHIRE AND LINCOLNSHIRE AREA TEAM,860,15,30.0,7.0,10.0,20.0,7.0,15.0,0.0,85,2016
Q60,SHROPSHIRE AND STAFFORDSHIRE AREA TEAM,1210,110,20.0,7.0,10.0,10.0,7.0,7.0,7.0,80,2016
Q64,"BATH, GLOUCESTERSHIRE, SWINDON AND WILTSHIRE AREA TEAM",950,30,25.0,7.0,7.0,20.0,10.0,15.0,0.0,75,2016
Q65,"BRISTOL, NORTH SOMERSET, SOMERSET AND SOUTH GLOUCESTERSHIRE AREA TEAM",950,30,25.0,10.0,15.0,20.0,15.0,10.0,7.0,50,2016
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY AREA TEAM",960,35,35.0,10.0,10.0,30.0,7.0,7.0,0.0,90,2016
Q67,KENT AND MEDWAY AREA TEAM,750,20,15.0,7.0,15.0,10.0,7.0,15.0,0.0,40,2016
Q68,SURREY AND SUSSEX AREA TEAM,1960,40,40.0,10.0,25.0,35.0,10.0,20.0,7.0,50,2016
Q69,THAMES VALLEY AREA TEAM,790,15,35.0,7.0,15.0,10.0,7.0,7.0,0.0,85,2016
Q70,WESSEX AREA TEAM,1650,55,50.0,7.0,30.0,40.0,10.0,30.0,0.0,115,2016
Q71,LONDON AREA TEAM,5450,160,435.0,60.0,195.0,110.0,20.0,365.0,0.0,795,2016
7,ENGLAND TOTAL ,40428,1430,1301.0,222.0,692.0,660.0,153.0,762.0,13.0,3501,2016
Q44,"CHESHIRE, WARRINGTON AND WIRRAL AREA TEAM",1820,45,35.0,7.0,35.0,20.0,10.0,7.0,7.0,110,2017
Q45,"DURHAM, DARLINGTON AND TEES AREA TEAM",905,30,30.0,7.0,15.0,25.0,7.0,15.0,0.0,135,2017
Q46,GREATER MANCHESTER AREA TEAM,1910,30,25.0,10.0,45.0,35.0,7.0,7.0,0.0,90,2017
Q47,LANCASHIRE AREA TEAM,1090,25,35.0,10.0,30.0,25.0,7.0,7.0,0.0,260,2017
Q48,MERSEYSIDE AREA TEAM,2160,145,35.0,7.0,50.0,30.0,10.0,7.0,0.0,215,2017
Q49,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR AREA TEAM",2125,35,40.0,15.0,35.0,30.0,10.0,10.0,7.0,225,2017
Q50,NORTH YORKSHIRE AND HUMBER AREA TEAM,1075,30,40.0,7.0,10.0,15.0,7.0,15.0,7.0,125,2017
Q51,SOUTH YORKSHIRE AND BASSETLAW AREA TEAM,1195,30,20.0,7.0,10.0,25.0,7.0,20.0,7.0,70,2017
Q52,WEST YORKSHIRE AREA TEAM,1580,55,70.0,7.0,25.0,35.0,7.0,30.0,7.0,175,2017
Q53,"ARDEN, HEREFORDSHIRE AND WORCESTERSHIRE AREA TEAM",1005,20,40.0,7.0,20.0,15.0,7.0,15.0,0.0,75,2017
Q54,BIRMINGHAM AND THE BLACK COUNTRY AREA TEAM,2120,40,100.0,7.0,35.0,20.0,7.0,35.0,0.0,185,2017
Q55,DERBYSHIRE AND NOTTINGHAMSHIRE AREA TEAM,2180,205,65.0,10.0,25.0,25.0,10.0,30.0,7.0,150,2017
Q56,EAST ANGLIA AREA TEAM,1580,20,30.0,7.0,15.0,10.0,7.0,15.0,7.0,110,2017
Q57,ESSEX AREA TEAM,865,25,20.0,7.0,25.0,10.0,7.0,15.0,0.0,75,2017
Q58,HERTFORDSHIRE AND THE SOUTH MIDLANDS AREA TEAM,1645,35,75.0,7.0,45.0,20.0,7.0,10.0,0.0,190,2017
Q59,LEICESTERSHIRE AND LINCOLNSHIRE AREA TEAM,930,25,35.0,7.0,10.0,7.0,7.0,20.0,0.0,135,2017
Q60,SHROPSHIRE AND STAFFORDSHIRE AREA TEAM,930,40,30.0,7.0,10.0,20.0,7.0,7.0,7.0,130,2017
Q64,"BATH, GLOUCESTERSHIRE, SWINDON AND WILTSHIRE AREA TEAM",950,25,30.0,7.0,10.0,15.0,10.0,20.0,0.0,115,2017
Q65,"BRISTOL, NORTH SOMERSET, SOMERSET AND SOUTH GLOUCESTERSHIRE AREA TEAM",1030,45,40.0,15.0,25.0,15.0,7.0,20.0,0.0,70,2017
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY AREA TEAM",1005,35,15.0,10.0,10.0,25.0,7.0,7.0,0.0,70,2017
Q67,KENT AND MEDWAY AREA TEAM,755,10,7.0,7.0,10.0,7.0,7.0,15.0,0.0,30,2017
Q68,SURREY AND SUSSEX AREA TEAM,1640,30,35.0,15.0,40.0,10.0,10.0,20.0,0.0,105,2017
Q69,THAMES VALLEY AREA TEAM,970,25,40.0,7.0,25.0,10.0,7.0,10.0,7.0,60,2017
Q70,WESSEX AREA TEAM,1700,50,55.0,10.0,35.0,20.0,7.0,30.0,0.0,100,2017
Q71,LONDON AREA TEAM,5210,155,310.0,35.0,145.0,115.0,15.0,125.0,7.0,625,2017
Y,Unknown,865,15,10.0,10.0,20.0,15.0,7.0,7.0,7.0,40,2017
7,England total,39239,1236,1280.0,202.0,764.0,604.0,133.0,495.0,15.0,3670,2017
